word	source	synset	first appearance	1650-1700	1701-1750	1751-1800	1801-1850	1851-1900	1901-1925	smell-source	quality
Schwefelwasserstoff_noun	cooc		1769	no	no	no	yes	yes	yes	CATEGORY|emissions_traffic|fuel|dust	
Seele_noun	cooc		1508	no	no	yes	yes	yes	yes	CATEGORY|animal|people	
Stamm_noun	cooc		1528	no	no	yes	yes	yes	yes	CATEGORY|nature_flowers|plant|tree|soil	
Staub_noun	cooc		1645	no	no	no	no	yes	yes	CATEGORY|emissions_traffic|fuel|dust	
Stengel_noun	cooc		1659	yes	no	no	yes	yes	yes	CATEGORY|nature_flowers|plant|tree|soil	
Stern_noun	cooc		1528	no	no	no	no	yes	yes	CATEGORY|nature_flowers|plant|tree|soil	
Stoff_noun	cooc		1508	no	no	no	no	yes	yes	CATEGORY|cleaning|medicinal	
Strahl_noun	cooc		1659	no	no	yes	yes	yes	yes	CATEGORY|industry	
Strom_noun	cooc		1628	yes	no	no	yes	yes	yes	CATEGORY|industry	
Substanz_noun	cooc		1508	no	no	yes	yes	yes	yes	CATEGORY|cleaning|medicinal	
Suesses_noun	cooc		1758	no	no	no	no	yes	yes	CATEGORY|food|beverage	
Tabak_noun	cooc		1508	no	no	no	no	yes	yes	CATEGORY|tobacco|smoke	
Tau_noun	cooc		1727	no	no	no	no	yes	yes	CATEGORY|nature_flowers|plant|tree|soil	
Tier_noun	cooc		1659	no	no	no	no	yes	yes	CATEGORY|animal|people	
Ton_noun	cooc		1508	no	no	yes	yes	yes	yes	CATEGORY|industry	
Tritt_noun	cooc		1508	no	no	no	no	yes	yes	CATEGORY|animal|people	
Trockenheit_noun	cooc		1659	no	no	no	yes	yes	yes	CATEGORY|nature_flowers|plant|tree|soil	
Tuch_noun	cooc		1689	no	yes	no	yes	yes	yes	CATEGORY|cleaning|medicinal	
Turm_noun	cooc		1659	no	no	no	no	no	yes	CATEGORY|industry	
Umschlag_noun	cooc		1659	no	no	no	no	yes	yes	CATEGORY|cleaning|medicinal	
Urin_noun	cooc		1659	no	no	no	no	yes	yes	CATEGORY|waste_garbage|pee|vomit|excrement|rotten	
Vehikels_noun	cooc		1785	no	no	yes	yes	yes	yes	CATEGORY|emissions_traffic|fuel|dust	
Veilchen_noun	cooc		1727	no	no	no	yes	yes	yes	CATEGORY|nature_flowers|plant|tree|soil	
Verstopfung_noun	cooc		1740	no	no	no	yes	yes	yes	CATEGORY|waste_garbage|pee|vomit|excrement|rotten	
Violett_noun	cooc		1753	no	no	no	yes	yes	yes	CATEGORY|nature_flowers|plant|tree|soil	
Vogel_noun	cooc		1689	no	no	no	no	no	yes	CATEGORY|animal|people	
Vogels_noun	cooc		1740	no	no	yes	yes	yes	yes	CATEGORY|animal|people	
Waermen_noun	cooc		1745	no	no	no	no	no	yes	CATEGORY|emissions_traffic|fuel|dust	
Wasser_noun	cooc		1508	no	no	no	yes	yes	yes	CATEGORY|industry	
Weihrauch_noun	cooc		1659	no	no	no	yes	yes	yes	CATEGORY|tobacco|smoke	
Wesen_noun	cooc		1508	no	no	yes	yes	no	no	CATEGORY|animal|people	
Wilde_noun	cooc		1528	no	no	no	yes	yes	yes	CATEGORY|animal|people	
Winde_noun	cooc		1689	no	no	no	no	yes	yes	CATEGORY|nature_flowers|plant|tree|soil	
Wuerzgeruch_noun	cooc		1798	no	no	no	yes	yes	yes	CATEGORY|cleaning|medicinal	
Wurm_noun	cooc		1659	no	no	no	yes	yes	yes	CATEGORY|animal|people	
Wurzel_noun	cooc		1508	no	no	yes	yes	yes	yes	CATEGORY|nature_flowers|plant|tree|soil	
Zug_noun	cooc		1508	no	no	no	yes	yes	yes	CATEGORY|emissions_traffic|fuel|dust	
angenehm_adj	cooc		1508	no	no	no	yes	yes	yes		CATEGORY|Fragrant|fruity|floral
belebend_adj	cooc		1659	yes	no	no	yes	yes	yes		CATEGORY|Fragrant|fruity|floral
