word	source	synset	first appearance	1650-1700	1701-1750	1751-1800	1801-1850	1851-1900	1901-1925	smell-source	quality	
oliviers_noun	cooc		1553	no	no	yes	yes	yes	yes	CATEGORY|nature_flowers|plant|tree|soil		manual
onction_noun	cooc		1616	no	yes	yes	yes	yes	yes			
onctueux_adj	cooc		1553	yes	no	yes	yes	yes	yes		CATEGORY|sweet|spicy	
onguent_noun	cooc		1553	no	no	no	yes	yes	yes	CATEGORY|cleaning|medicinal		manual
opium_noun	cooc		1553	no	no	yes	yes	yes	yes	CATEGORY|tobacco|smoke		manual
orange_noun	cooc		1574	no	no	yes	yes	yes	yes	CATEGORY|food|beverage		manual
oranger_noun	cooc		1553	no	no	no	yes	yes	yes	CATEGORY|nature_flowers|plant|tree|soil		manual
orangers_noun	cooc		1553	no	no	no	yes	yes	yes	CATEGORY|nature_flowers|plant|tree|soil		manual
organique_adj	cooc		1603	no	no	no	yes	yes	yes		CATEGORY|chemical|hydro-carbons|synthetic	manual
ortie_noun	cooc		1553	no	no	yes	yes	yes	yes	CATEGORY|nature_flowers|plant|tree|soil		
ours_noun	cooc		1553	no	no	no	yes	yes	yes	CATEGORY|animal|people		
ouvrier_noun	cooc		1553	no	no	no	yes	yes	yes	CATEGORY|industry		manual
oxigène_noun	cooc		1750	no	no	yes	yes	yes	no	CATEGORY|emissions_traffic|fuel|dust		manual
ozone_noun	cooc		1734	no	no	no	yes	yes	yes	CATEGORY|emissions_traffic|fuel|dust		manual
paille_noun	cooc		1547	yes	yes	yes	yes	yes	yes	CATEGORY|nature_flowers|plant|tree|soil		
pain_noun	cooc		1547	no	yes	yes	yes	yes	yes	CATEGORY|food|beverage		
palmier_noun	cooc		1553	no	no	yes	yes	yes	yes	CATEGORY|nature_flowers|plant|tree|soil		
pansement_noun	cooc		1676	no	no	no	yes	yes	no	CATEGORY|cleaning|medicinal		
paon_noun	cooc		1553	no	no	no	yes	yes	yes	CATEGORY|animal|people		manual
papier_noun	cooc		1547	no	no	yes	yes	yes	yes	CATEGORY|synthetic		manual
papillon_noun	cooc		1623	no	no	no	no	yes	yes	CATEGORY|animal|people		manual
parfum_noun	cooc	['perfume.n.02', 'smell.n.01', 'aroma.n.02']	1553	yes	yes	yes	yes	yes	yes	CATEGORY|nature_flowers|plant|tree|soil		
parfumé_adj	cooc		1632	no	no	no	yes	yes	yes		CATEGORY|Fragrant|fruity|floral	
patchouli_noun	cooc		1825	no	no	no	no	yes	yes	CATEGORY|nature_flowers|plant|tree|soil		manual
paume_noun	cooc		1553	no	no	no	yes	yes	yes	CATEGORY|nature_flowers|plant|tree|soil		manual
paysan_noun	cooc		1553	no	no	yes	yes	yes	yes	CATEGORY|animal|people		manual
peinture_noun	cooc		1553	no	yes	yes	yes	yes	yes	CATEGORY|cleaning|medicinal		
persil_noun	cooc		1553	no	no	yes	yes	yes	yes	CATEGORY|food|beverage		
persistant_adj	cooc		1646	no	no	no	yes	yes	yes		CATEGORY|Fragrant|fruity|floral	manual
pestilentiel_adj	cooc		1579	no	no	yes	yes	yes	yes		CATEGORY|decayed	manual
petrole_noun	cooc		1706	no	no	no	no	no	yes	CATEGORY|emissions_traffic|fuel|dust		manual
peuple_noun	cooc		1547	yes	yes	yes	yes	yes	yes	CATEGORY|animal|people		manual
peuplier_noun	cooc		1553	no	no	yes	yes	yes	yes	CATEGORY|nature_flowers|plant|tree|soil		
pharmaceutique_adj	cooc		1553	no	no	no	no	yes	yes		CATEGORY|chemical|hydro-carbons|synthetic	manual
pharmacie_noun	cooc		1603	no	no	yes	yes	yes	yes	CATEGORY|cleaning|medicinal		manual
pied_noun	cooc		1547	yes	yes	yes	yes	yes	yes	CATEGORY|animal|people		manual
pierre_noun	cooc		1547	yes	yes	yes	yes	yes	yes	CATEGORY|nature_flowers|plant|tree|soil		
pigeon_noun	cooc		1553	no	no	yes	yes	yes	yes	CATEGORY|animal|people		
