seed	co-occurence	time span	freq	total token timespan
bos	45	1851-1900	128	5394064364
parfumerie	verkrijgbaar	1851-1900	265	5394064364
parfumerie	in	1851-1900	1130	5394064364
parfumerie	al	1851-1900	895	5394064364
neus	1777	1901-1925	61	7815890332
bos	17	1851-1900	221	5394064364
reuk	17	1901-1925	6	7815890332
reuk	is	1901-1925	280	7815890332
reuk	mijn	1901-1925	6	7815890332
reuk	zwak	1901-1925	6	7815890332
bos	juli	1851-1900	215	5394064364
bos	1858	1851-1900	215	5394064364
bos	directeur	1851-1900	705	5394064364
bos	145	1901-1925	140	7815890332
geurig	18	1901-1925	70	7815890332
geurig	32	1901-1925	124	7815890332
geurig	coqueta	1901-1925	144	7815890332
geurig	zacht	1901-1925	1785	7815890332
bos	185	1901-1925	7	7815890332
bos	co	1901-1925	627	7815890332
bos	zwartjanstraat	1901-1925	902	7815890332
essence	1878	1851-1900	197	5394064364
essence	au	1851-1900	168	5394064364
essence	melati	1851-1900	126	5394064364
essence	savon	1851-1900	95	5394064364
essence	de	1851-1900	2193	5394064364
geur	1887	1851-1900	97	5394064364
geur	munt	1851-1900	327	5394064364
geur	nit	1851-1900	12	5394064364
geur	uit	1851-1900	579	5394064364
bos	1890	1901-1925	13	7815890332
bos	directeur	1901-1925	191	7815890332
aroma	18	1901-1925	184	7815890332
aroma	50	1901-1925	302	7815890332
aroma	250	1901-1925	197	7815890332
aroma	39	1901-1925	14	7815890332
aroma	47	1901-1925	24	7815890332
aroma	60	1901-1925	28	7815890332
aroma	600	1901-1925	7	7815890332
bos	18	1901-1925	154	7815890332
bos	paling	1901-1925	46	7815890332
bos	takstraat	1901-1925	67	7815890332
bos	36	1901-1925	251	7815890332
parfum	18	1851-1900	28	5394064364
parfum	parij	1851-1900	35	5394064364
parfum	royal	1851-1900	41	5394064364
parfum	nieuw	1851-1900	109	5394064364
bouquet	18	1901-1925	78	7815890332
bouquet	pari	1901-1925	58	7815890332
bouquet	parfum	1901-1925	24	7815890332
bouquet	exquis	1901-1925	18	7815890332
parfum	18	1901-1925	12	7815890332
parfum	pari	1901-1925	18	7815890332
parfum	bouquet	1901-1925	24	7815890332
parfum	exquis	1901-1925	107	7815890332
bouquet	porteveine	1901-1925	18	7815890332
parfum	porteveine	1901-1925	25	7815890332
geparfumeerd	18	1901-1925	72	7815890332
geparfumeerd	soort	1901-1925	94	7815890332
geparfumeerd	ongepar	1901-1925	6	7815890332
bos	cents	1901-1925	90	7815890332
reuk	1920	1901-1925	12	7815890332
reuk	capsule	1901-1925	18	7815890332
reuk	geen	1901-1925	1180	7815890332
bos	19	1901-1925	736	7815890332
bos	zwart	1901-1925	410	7815890332
bos	jan	1901-1925	231	7815890332
bos	28	1901-1925	677	7815890332
bos	halmmans	1901-1925	395	7815890332
bouquet	19	1901-1925	32	7815890332
bouquet	le	1901-1925	40	7815890332
bos	snabili	1901-1925	49	7815890332
bos	steiger	1901-1925	30	7815890332
bos	20000	1851-1900	10	5394064364
bos	isen	1851-1900	19	5394064364
bos	kwaliteit	1851-1900	65	5394064364
bos	binden	1851-1900	195	5394064364
lucht	mijl	1901-1925	14	7815890332
bos	200	1901-1925	241	7815890332
lucht	200	1801-1850	7	1565489769
geurig	200	1801-1850	7	1565489769
bos	2014	1901-1925	13	7815890332
bos	1121	1901-1925	13	7815890332
bos	lb	1901-1925	6	7815890332
