word	source	synset	first appearance	1650-1700	1701-1750	1751-1800	1801-1850	1851-1900	1901-1925	smell-source	quality
bojazen	cooc		-	-	-	-	-	-	-
bojazljiv	cooc		-	-	-	-	-	-	-
bojec	cooc		-	-	-	-	-	-	-
bojevit	cooc		-	-	-	-	-	-	-
bojišče	cooc		-	-	-	-	-	-	-
bok	cooc		-	-	-	-	-	-	-
bokal	cooc		-	-	-	-	-	-	-
bol	cooc		-	-	-	-	-	-	-
bolan	cooc		-	-	-	-	-	-	-
bolantaček	cooc		-	-	-	-	-	-	-
bolehati	cooc		-	-	-	-	-	-	-
bolehnost	cooc		-	-	-	-	-	-	-
bolesten	cooc		-	-	-	-	-	-	-
bolet	cooc		-	-	-	-	-	-	-
boleti	cooc		-	-	-	-	-	-	-
bolezen	cooc		-	-	-	-	-	-	-
boleč	cooc		-	-	-	-	-	-	-
bolečina	cooc		-	-	-	-	-	-	-
bolgar	cooc		-	-	-	-	-	-	-
bolj	cooc		-	-	-	-	-	-	-
bolje	cooc		-	-	-	-	-	-	-
bolnik	cooc		-	-	-	-	-	-	-
bolnikov	cooc		-	-	-	-	-	-	-
bolniški	cooc		-	-	-	-	-	-	-
bomba	cooc		-	-	-	-	-	-	-
bombažast	cooc		-	-	-	-	-	-	-
bon	cooc		-	-	-	-	-	-	-
borba	cooc		-	-	-	-	-	-	-
boren	cooc		-	-	-	-	-	-	-
boreč	cooc		-	-	-	-	-	-	-
borilec	cooc		-	-	-	-	-	-	-
boriti	cooc		-	-	-	-	-	-	-
borišče	cooc		-	-	-	-	-	-	-
borza	cooc		-	-	-	-	-	-	-
borša	cooc		-	-	-	-	-	-	-
boršti	cooc		-	-	-	-	-	-	-
bos	cooc		-	-	-	-	-	-	-
bosiljak	cooc		-	-	-	-	-	-	-
bosizio	cooc		-	-	-	-	-	-	-
bosti	cooc		-	-	-	-	-	-	-
botra	cooc		-	-	-	-	-	-	-
bočiti	cooc		-	-	-	-	-	-	-
boštjan	cooc		-	-	-	-	-	-	-
božanje	cooc		-	-	-	-	-	-	-
božanstvo	cooc		-	-	-	-	-	-	-
božati	cooc		-	-	-	-	-	-	-
božič	cooc		-	-	-	-	-	-	-
božičen	cooc		-	-	-	-	-	-	-
božjasten	cooc		-	-	-	-	-	-	-
božji	cooc		-	-	-	-	-	-	-
brada	cooc		-	-	-	-	-	-	-
bradat	cooc		-	-	-	-	-	-	-
bradavica	cooc		-	-	-	-	-	-	-
bradica	cooc		-	-	-	-	-	-	-
brajda	cooc		-	-	-	-	-	-	-
bralec	cooc		-	-	-	-	-	-	-
bran	cooc		-	-	-	-	-	-	-
braniti	cooc		-	-	-	-	-	-	-
branjevka	cooc		-	-	-	-	-	-	-
branka	cooc		-	-	-	-	-	-	-
brat	cooc		-	-	-	-	-	-	-
bratec	cooc		-	-	-	-	-	-	-
brati	cooc		-	-	-	-	-	-	-
bratoljubje	cooc		-	-	-	-	-	-	-
bratov	cooc		-	-	-	-	-	-	-
bratovič	cooc		-	-	-	-	-	-	-
brazda	cooc		-	-	-	-	-	-	-
brazgotina	cooc		-	-	-	-	-	-	-
brbljav	cooc		-	-	-	-	-	-	-
brd	cooc		-	-	-	-	-	-	-
breg	cooc		-	-	-	-	-	-	-
breme	cooc		-	-	-	-	-	-	-
brencelj	cooc		-	-	-	-	-	-	-
breskvar	cooc		-	-	-	-	-	-	-
brest	cooc		-	-	-	-	-	-	-
bresti	cooc		-	-	-	-	-	-	-
breza	cooc		-	-	-	-	-	-	-
brezbarven	cooc		-	-	-	-	-	-	-
brezbožen	cooc		-	-	-	-	-	-	-
brezbožnost	cooc		-	-	-	-	-	-	-
brezdelavnost	cooc		-	-	-	-	-	-	-
brezdelen	cooc		-	-	-	-	-	-	-
brezdelje	cooc		-	-	-	-	-	-	-
brezdelnost	cooc		-	-	-	-	-	-	-
brezimen	cooc		-	-	-	-	-	-	-
brezizrazen	cooc		-	-	-	-	-	-	-
brezkončen	cooc		-	-	-	-	-	-	-
brezlika	cooc		-	-	-	-	-	-	-
brezličen	cooc		-	-	-	-	-	-	-
brezmejen	cooc		-	-	-	-	-	-	-
brezmiselnost	cooc		-	-	-	-	-	-	-
brezno	cooc		-	-	-	-	-	-	-
breznos	cooc		-	-	-	-	-	-	-
brezobziren	cooc		-	-	-	-	-	-	-
brezprimeren	cooc		-	-	-	-	-	-	-
brezskrben	cooc		-	-	-	-	-	-	-
brezskrbnost	cooc		-	-	-	-	-	-	-
brezsrčen	cooc		-	-	-	-	-	-	-
breztelesen	cooc		-	-	-	-	-	-	-
brezumje	cooc		-	-	-	-	-	-	-
brezvesten	cooc		-	-	-	-	-	-	-
brezčutnost	cooc		-	-	-	-	-	-	-
brhek	cooc		-	-	-	-	-	-	-
bridek	cooc		-	-	-	-	-	-	-
bridkost	cooc		-	-	-	-	-	-	-
brigati	cooc		-	-	-	-	-	-	-
brina	cooc		-	-	-	-	-	-	-
brinje	cooc		-	-	-	-	-	-	-
brinjev	cooc		-	-	-	-	-	-	-
brinov	cooc		-	-	-	-	-	-	-
brisati	cooc		-	-	-	-	-	-	-
britev	cooc		-	-	-	-	-	-	-
briti	cooc		-	-	-	-	-	-	-
britof	cooc		-	-	-	-	-	-	-
brivec	cooc		-	-	-	-	-	-	-
brk	cooc		-	-	-	-	-	-	-
brka	cooc		-	-	-	-	-	-	-
brleti	cooc		-	-	-	-	-	-	-
brleč	cooc		-	-	-	-	-	-	-
brlog	cooc		-	-	-	-	-	-	-
brn	cooc		-	-	-	-	-	-	-
brnel	cooc		-	-	-	-	-	-	-
brneč	cooc		-	-	-	-	-	-	-
brod	cooc		-	-	-	-	-	-	-
brodarstvo	cooc		-	-	-	-	-	-	-
broditi	cooc		-	-	-	-	-	-	-
brodov	cooc		-	-	-	-	-	-	-
brskati	cooc		-	-	-	-	-	-	-
brsteti	cooc		-	-	-	-	-	-	-
brumen	cooc		-	-	-	-	-	-	-
brumnost	cooc		-	-	-	-	-	-	-
bruno	cooc		-	-	-	-	-	-	-
brus	cooc		-	-	-	-	-	-	-
brušen	cooc		-	-	-	-	-	-	-
brz	cooc		-	-	-	-	-	-	-
brza	cooc		-	-	-	-	-	-	-
brzojavka	cooc		-	-	-	-	-	-	-
brzovlak	cooc		-	-	-	-	-	-	-
brž	cooc		-	-	-	-	-	-	-
bržčas	cooc		-	-	-	-	-	-	-
buden	cooc		-	-	-	-	-	-	-
budimpešti	cooc		-	-	-	-	-	-	-
buditi	cooc		-	-	-	-	-	-	-
budoar	cooc		-	-	-	-	-	-	-
budodelnik	cooc		-	-	-	-	-	-	-
bujen	cooc		-	-	-	-	-	-	-
bujnordeč	cooc		-	-	-	-	-	-	-
bukev	cooc		-	-	-	-	-	-	-
bukovje	cooc		-	-	-	-	-	-	-
bukvica	cooc		-	-	-	-	-	-	-
bula	cooc		-	-	-	-	-	-	-
bunčica	cooc		-	-	-	-	-	-	-
buren	cooc		-	-	-	-	-	-	-
burja	cooc		-	-	-	-	-	-	-
buteljka	cooc		-	-	-	-	-	-	-
buča	cooc		-	-	-	-	-	-	-
bušiti	cooc		-	-	-	-	-	-	-
bvoj	cooc		-	-	-	-	-	-	-
byst	cooc		-	-	-	-	-	-	-
bčelo	cooc		-	-	-	-	-	-	-
ca	cooc		-	-	-	-	-	-	-
caelum	cooc		-	-	-	-	-	-	-
caharija	cooc		-	-	-	-	-	-	-
calamus	cooc		-	-	-	-	-	-	-
canina	cooc		-	-	-	-	-	-	-
cankar	cooc		-	-	-	-	-	-	-
capa	cooc		-	-	-	-	-	-	-
capodistrija	cooc		-	-	-	-	-	-	-
car	cooc		-	-	-	-	-	-	-
carigrad	cooc		-	-	-	-	-	-	-
carinar	cooc		-	-	-	-	-	-	-
carlotti	cooc		-	-	-	-	-	-	-
cartan	cooc		-	-	-	-	-	-	-
cediti	cooc		-	-	-	-	-	-	-
cel	cooc		-	-	-	-	-	-	-
celibat	cooc		-	-	-	-	-	-	-
celjski	cooc		-	-	-	-	-	-	-
celota	cooc		-	-	-	-	-	-	-
celovec	cooc		-	-	-	-	-	-	-
celovški	cooc		-	-	-	-	-	-	-
cen	cooc		-	-	-	-	-	-	-
cena	cooc		-	-	-	-	-	-	-
ceniti	cooc		-	-	-	-	-	-	-
cep	cooc		-	-	-	-	-	-	-
cepič	cooc		-	-	-	-	-	-	-
cepljenka	cooc		-	-	-	-	-	-	-
cepuder	cooc		-	-	-	-	-	-	-
cerkev	cooc		-	-	-	-	-	-	-
cerkven	cooc		-	-	-	-	-	-	-
cesar	cooc		-	-	-	-	-	-	-
cesarjev	cooc		-	-	-	-	-	-	-
cesarski	cooc		-	-	-	-	-	-	-
cesta	cooc		-	-	-	-	-	-	-
cesten	cooc		-	-	-	-	-	-	-
cetinovič	cooc		-	-	-	-	-	-	-
cev	cooc		-	-	-	-	-	-	-
cezar	cooc		-	-	-	-	-	-	-
chanzn	cooc		-	-	-	-	-	-	-
cibet	cooc		-	-	-	-	-	-	-
cigan	cooc		-	-	-	-	-	-	-
ciganka	cooc		-	-	-	-	-	-	-
ciganski	cooc		-	-	-	-	-	-	-
cigareta	cooc		-	-	-	-	-	-	-
cijazovec	cooc		-	-	-	-	-	-	-
ciklamen	cooc		-	-	-	-	-	-	-
cilj	cooc		-	-	-	-	-	-	-
cipa	cooc		-	-	-	-	-	-	-
cirilov	cooc		-	-	-	-	-	-	-
cirilski	cooc		-	-	-	-	-	-	-
citron	cooc		-	-	-	-	-	-	-
cm	cooc		-	-	-	-	-	-	-
cobitis	cooc		-	-	-	-	-	-	-
cocculus	cooc		-	-	-	-	-	-	-
col	cooc		-	-	-	-	-	-	-
communis	cooc		-	-	-	-	-	-	-
consolationiz	cooc		-	-	-	-	-	-	-
conter	cooc		-	-	-	-	-	-	-
coprnija	cooc		-	-	-	-	-	-	-
crispinus	cooc		-	-	-	-	-	-	-
cuker	cooc		-	-	-	-	-	-	-
cula	cooc		-	-	-	-	-	-	-
cum	cooc		-	-	-	-	-	-	-
cunja	cooc		-	-	-	-	-	-	-
cunjast	cooc		-	-	-	-	-	-	-
curek	cooc		-	-	-	-	-	-	-
curljati	cooc		-	-	-	-	-	-	-
cvenka	cooc		-	-	-	-	-	-	-
cvet	cooc		-	-	-	-	-	-	-
cvetan	cooc		-	-	-	-	-	-	-
cvetek	cooc		-	-	-	-	-	-	-
cveten	cooc		-	-	-	-	-	-	-
cveteti	cooc		-	-	-	-	-	-	-
cvetica	cooc		-	-	-	-	-	-	-
cvetje	cooc		-	-	-	-	-	-	-
cvetka	cooc		-	-	-	-	-	-	-
cvetlica	cooc		-	-	-	-	-	-	-
cvetličen	cooc		-	-	-	-	-	-	-
cvetoč	cooc		-	-	-	-	-	-	-
cvileč	cooc		-	-	-	-	-	-	-
