word	synset	first appearance	1650-1700	1701-1750	1751-1800	1801-1850	1851-1900	1901-1925	smell-source	quality
Fisch_noun	cooc		1659	no	no	no	no	yes	yes	CATEGORY|food|beverage	
Fixsterne_noun	cooc		1752	no	no	yes	yes	yes	yes		
Flaeche_noun	cooc		1528	no	no	no	yes	yes	yes		
Flieder_noun	cooc		1754	no	no	no	yes	yes	yes	CATEGORY|nature_flowers|plant|tree|soil	
Fluessigkeit_noun	cooc		1659	no	no	no	yes	yes	yes	CATEGORY|cleaning|medicinal	
Flugblatt_noun	cooc		1729	no	no	no	no	yes	yes		
Folge_noun	cooc		1508	no	no	yes	no	no	no		
Folgewelt_noun	cooc		1794	no	no	no	yes	yes	yes		
Form_noun	cooc		1508	no	no	yes	yes	yes	yes		
Formulierung_noun	cooc		1727	no	no	no	no	no	yes		
Forschung_noun	cooc		1628	no	no	no	yes	yes	yes		
Fortschritt_noun	cooc		1508	no	no	no	yes	yes	yes		
Frage_noun	cooc		1508	no	no	yes	yes	yes	yes		
Frankreich_noun	cooc		1508	no	no	no	yes	yes	yes		
Frau_noun	cooc		1508	no	no	no	yes	yes	no	CATEGORY|animal|people	
Freude_noun	cooc		1508	no	no	yes	yes	yes	yes		
Friede_noun	cooc		1508	no	no	yes	no	yes	yes		
Frucht_noun	cooc		1508	no	no	yes	yes	yes	yes	CATEGORY|nature_flowers|plant|tree|soil	
Fuehlen_noun	cooc		1508	no	no	no	yes	yes	yes	CATEGORY|industry	
Fuelle_noun	cooc		1528	no	no	no	yes	yes	yes		
Functionen_noun	cooc		1508	no	no	yes	yes	yes	yes		
Funktion_noun	cooc		1508	no	no	no	no	no	yes		
Furcht_noun	cooc		1508	no	no	yes	yes	yes	yes		
Fuss_noun	cooc		1508	no	no	yes	no	no	yes		
Galle_noun	cooc		1659	no	no	no	yes	no	yes	CATEGORY|waste_garbage|pee|vomit|excrement|rotten	
Ganzes_noun	cooc		1508	no	no	no	no	no	yes		
Garderobe_noun	cooc		1756	no	no	no	no	no	yes	CATEGORY|cleaning|medicinal	
Garten_noun	cooc		1508	no	no	no	yes	yes	yes	CATEGORY|nature_flowers|plant|tree|soil	
Gas_noun	cooc		1659	no	no	no	yes	yes	yes	CATEGORY|emissions_traffic|fuel|dust	
Gasse_noun	cooc		1645	no	no	no	no	yes	yes		
Gaumen_noun	cooc		1659	no	no	yes	yes	yes	yes	CATEGORY|food|beverage	
Gebiet_noun	cooc		1508	no	no	no	yes	yes	yes		
Gebild_noun	cooc		1659	no	no	no	yes	yes	yes	CATEGORY|nature_flowers|plant|tree|soil	
Gebirge_noun	cooc		1545	no	no	no	yes	yes	yes	CATEGORY|nature_flowers|plant|tree|soil	
Gebisse_noun	cooc		1689	no	no	no	no	yes	yes	CATEGORY|cleaning|medicinal	
Gebrauch_noun	cooc		1508	no	no	yes	yes	yes	yes	CATEGORY|cleaning|medicinal	
Gedanke_noun	cooc		1508	no	no	no	yes	yes	yes		
Gedanken_noun	cooc		1508	no	no	no	yes	yes	yes		
Gedankenteilung_noun	cooc		1894	no	no	no	no	no	yes		
Gedankentheilung_noun	cooc		1787	no	no	yes	yes	yes	yes		
Gefahr_noun	cooc		1508	no	no	no	no	yes	yes		
Gefuehl_noun	cooc		1508	no	yes	yes	yes	yes	yes		
Gefuehltes_noun	cooc		1803	no	no	no	yes	yes	yes		
Gegend_noun	cooc		1508	no	no	yes	yes	yes	yes	CATEGORY|animal|people	
Gegensatz_noun	cooc		1508	no	no	no	yes	yes	yes		
Gegenstaendliche_noun	cooc		1791	no	no	no	no	yes	yes	CATEGORY|cleaning|medicinal	
Gegenstand_noun	cooc		1508	no	no	yes	yes	yes	yes		
Gehoer_noun	cooc		1508	yes	yes	yes	yes	yes	yes		
Geist_noun	cooc		1508	no	no	no	yes	yes	yes	CATEGORY|animal|people	
Geisterwelt_noun	cooc		1628	no	no	no	yes	yes	yes		
Geistigkeit_noun	cooc		1659	no	no	no	yes	yes	yes		
Geld_noun	cooc		1508	no	no	no	no	no	yes	CATEGORY|industry	
Gelegenheit_noun	cooc		1508	no	no	yes	yes	yes	yes		
Gemauschel_noun	cooc		1862	no	no	no	no	yes	yes		
Gemeinschaft_noun	cooc		1508	no	no	yes	yes	yes	yes		
Genauigkeit_noun	cooc		1528	no	no	yes	yes	yes	yes		
Genehmigung_noun	cooc		1508	no	no	no	no	yes	yes		
Generation_noun	cooc		1508	no	no	no	no	yes	yes		
Genie_noun	cooc		1528	no	no	yes	yes	yes	yes		
Geraeusch_noun	cooc		1659	no	no	no	no	yes	yes		
Geruch_noun	cooc	['s14288', 's27490']	1508	no	no	yes	yes	yes	yes	CATEGORY|tobacco|smoke	
Geruecht_noun	cooc		1689	no	no	yes	yes	yes	yes		
Gesang_noun	cooc		1508	no	no	no	no	yes	yes		
Geschaeft_noun	cooc		1508	no	no	no	no	yes	no		
Geschichte_noun	cooc		1508	no	no	yes	yes	yes	no		
Geschlechtskrankheit_noun	cooc		1818	no	no	no	no	no	yes		
Geschlechtsorgan_noun	cooc		1797	no	no	no	no	yes	yes		
Geschlechtsorganen_noun	cooc		1778	no	no	no	no	yes	yes		
Geschmack_noun	cooc		1508	yes	yes	yes	yes	yes	yes	CATEGORY|food|beverage	
Geschmackssinn_noun	cooc		1791	no	no	no	yes	yes	yes	CATEGORY|food|beverage	
Geschmaecke_noun	cooc		1752	no	no	yes	yes	yes	yes	CATEGORY|food|beverage	
Geschmaecken_noun	cooc		1787	no	no	no	yes	yes	yes	CATEGORY|food|beverage	
Gesellschaft_noun	cooc		1508	no	no	yes	yes	yes	yes		
Gesetz_noun	cooc		1508	no	no	yes	yes	yes	yes		
Gesetzgebung_noun	cooc		1508	no	no	no	no	yes	yes		
Gesicht_noun	cooc		1528	no	no	yes	yes	yes	yes	CATEGORY|cleaning|medicinal	
