word	source	synset	first appearance	1650-1700	1701-1750	1751-1800	1801-1850	1851-1900	1901-1925	smell-source	quality
adsistentie	cooc		1800	-	-	-	no	yes	no
advertising	cooc		1810	-	-	-	no	no	yes
adviseur	cooc		1810	-	-	-	no	no	yes
aert	cooc		1600	-	-	-	no	no	yes
aesthetisch	cooc		1830	-	-	-	no	no	yes
af	cooc		1600	-	-	-	no	yes	yes
afbeelding	cooc		1600	-	-	-	no	yes	no
afbijten	cooc		1820	-	-	-	no	yes	yes
afbreken	cooc		1600	-	-	-	yes	no	no
afdeeling	cooc		1700	-	-	-	yes	yes	no
afdoend	cooc		1700	-	-	-	no	no	yes
afdwingen	cooc		1600	-	-	-	no	no	yes
affaire	cooc		1600	-	-	-	no	yes	no
afgematheid	cooc		1700	-	-	-	no	no	yes
afgeven	cooc		1600	-	-	-	no	yes	yes
afgrond	cooc		1700	-	-	-	yes	no	no
afhankelijkheid	cooc		1800	-	-	-	yes	yes	yes
afkoelen	cooc		1830	-	-	-	no	yes	no
afkomstig	cooc		1700	-	-	-	no	no	yes
afkondigen	cooc		1600	-	-	-	no	no	yes
afleggen	cooc		1600	-	-	-	no	no	yes
aflevering	cooc		1700	-	-	-	no	yes	yes
aflezen	cooc		1700	-	-	-	no	yes	no
afmatten	cooc		1600	-	-	-	no	no	yes
afmatting	cooc		1700	-	-	-	no	no	yes
afmeting	cooc		1700	-	-	-	no	yes	yes
afname	cooc		1700	-	-	-	no	yes	yes
afnemer	cooc		1700	-	-	-	no	no	yes
afrika	cooc		1600	-	-	-	no	no	yes
afscheiden	cooc		1700	-	-	-	no	yes	no
