word	source	synset	first appearance	1650-1700	1701-1750	1751-1800	1801-1850	1851-1900	1901-1925	smell-source	quality
accord_verb	cooc		1533	yes	yes	yes	yes	yes	yes
accordance_noun	cooc		1524	no	no	no	yes	yes	yes
accordancy_noun	cooc		1790	no	no	yes	yes	yes	no
accordant_noun	cooc		1701	no	no	no	yes	yes	yes
accordingly_adv	cooc		1524	yes	no	yes	yes	yes	yes
accords_verb	cooc		1578	no	yes	yes	yes	yes	yes
account_noun	cooc		1524	yes	yes	yes	yes	yes	yes
account_verb	cooc		1550	yes	no	yes	yes	yes	yes
accountest_verb	cooc		1658	no	no	yes	yes	yes	yes
accounts_noun	cooc		1524	no	no	yes	yes	yes	yes
accoutrement_noun	cooc		1657	no	yes	yes	yes	yes	yes
accumulate_verb	cooc		1565	no	no	yes	yes	yes	yes
accumulation_noun	cooc		1524	no	no	yes	yes	yes	yes
accuracy_noun	cooc		1524	no	no	yes	yes	yes	yes
accurate_adj	cooc		1524	no	no	yes	yes	yes	yes
accurately_adv	cooc		1524	no	no	yes	yes	yes	yes
accursed_adj	cooc		1565	no	yes	yes	yes	yes	yes
accursed_verb	cooc		1547	no	no	no	yes	yes	yes
accusation_noun	cooc		1551	no	no	yes	yes	yes	yes
accuse_verb	cooc		1524	no	yes	yes	yes	yes	yes
accuser_noun	cooc		1533	yes	no	yes	yes	yes	yes
accustom_verb	cooc		1600	yes	yes	yes	yes	yes	yes
accustomed_adj	cooc		1524	no	no	yes	yes	yes	yes
acetic_adj	cooc		1658	no	no	no	yes	yes	yes		CATEGORY|chemical|hydro-carbons|synthetic
acetone_noun	cooc		1806	no	no	no	yes	yes	yes	CATEGORY|cleaning|medicinal
ache_adj	cooc		1595	no	no	yes	yes	yes	no
ache_noun	cooc		1562	no	no	no	yes	yes	yes
acheron_noun	cooc		1567	no	yes	yes	yes	yes	yes
aches_verb	cooc		1595	no	no	no	yes	yes	yes
achieve_verb	cooc		1524	no	no	no	yes	yes	yes
achievement_noun	cooc		1524	no	no	yes	yes	yes	yes
achille_noun	cooc		1524	no	yes	yes	yes	yes	yes
acid_adj	cooc		1596	no	yes	yes	yes	yes	yes		CATEGORY|chemical|hydro-carbons|synthetic
acid_noun	cooc		1605	no	no	yes	yes	yes	yes	CATEGORY|cleaning|medicinal
acidity_noun	cooc		1649	no	no	no	yes	yes	yes
acknowledge_verb	cooc		1524	yes	yes	yes	yes	yes	yes
acknowledged_adj	cooc		1524	no	no	no	yes	yes	yes
acknowledgment_noun	cooc		1524	no	no	yes	yes	yes	yes
aconite_noun	cooc		1613	no	no	no	no	yes	yes	CATEGORY|nature_flowers|plant|tree|soil
acorn_noun	cooc		1597	no	no	no	yes	yes	yes	CATEGORY|nature_flowers|plant|tree|soil
acorus_adj	cooc		1722	no	no	no	yes	yes	yes
acquaint_verb	cooc		1524	yes	yes	yes	yes	yes	yes
acquaintance_noun	cooc		1524	no	yes	no	yes	yes	yes
acquiesce_verb	cooc		1581	no	no	no	yes	yes	yes
